User ID,Rental ID,Start Coordinates Lat,Start Coordinates Lng,End Coordinates Lat,End Coordinates Lng,Minute of Rental Start Time,Minute of Rental End Time,Membership Name
99d5df2b8bd3,9cec11d575f8,44.05892191,-121.3162973,44.05857251,-121.316373,2018-03-28T15:25,2018-03-28T17:10,Hourly Membership
65972e46892e,524e5ae8e1af,44.04390707,-121.3159466,44.04370506,-121.3157747,2018-04-04T23:05,2018-04-05T00:31,Hourly Membership
6cb23e4df9b8,ed6c2de8f357,44.04373247,-121.3157692,44.04366843,-121.3158136,2017-10-04T20:22,2017-10-04T20:51,Student Annual Membership
6cb23e4df9b8,272e7c97e845,44.04375141,-121.3157597,44.04375141,-121.3157597,2017-10-04T20:52,2017-10-04T20:52,Student Annual Membership
6cb23e4df9b8,76437a9e6d8b,44.04901001,-121.3256252,44.04898172,-121.3255809,2017-10-05T12:04,2017-10-05T13:15,Student Annual Membership
bf6c630637c5,b42e0a43ba66,44.04898151,-121.3255824,44.04310483,-121.3335294,2016-09-26T17:22,2016-09-26T17:29,Student Annual Membership
bf6c630637c5,6f1e3da61084,44.04898998,-121.3255998,44.04296029,-121.3337106,2016-09-29T11:00,2016-09-29T11:08,Student Annual Membership
bf6c630637c5,42a832a88a0e,44.04895457,-121.3255889,44.04302194,-121.3336479,2016-09-28T17:37,2016-09-28T17:44,Student Annual Membership
bf6c630637c5,223207526,44.04297479,-121.3335759,44.04894681,-121.3255514,2016-09-29T17:51,2016-09-29T17:58,Student Annual Membership
bf6c630637c5,c0f81d790d9d,44.04284663,-121.3336952,44.04899601,-121.3255381,2016-09-27T17:50,2016-09-27T17:56,Student Annual Membership
bf6c630637c5,28cb0ee5641f,44.04324381,-121.3333772,44.04895913,-121.3255852,2016-09-26T19:40,2016-09-26T19:48,Student Annual Membership
bf6c630637c5,c280ede692f2,44.04897984,-121.3255535,44.04298057,-121.3337127,2016-09-27T10:37,2016-09-27T10:44,Student Annual Membership
bf6c630637c5,bcec9ebca28e,44.04300354,-121.3336333,44.04899048,-121.325644,2016-09-28T20:18,2016-09-28T20:24,Student Annual Membership
bf6c630637c5,dfa11beff9eb,44.04296746,-121.3336667,44.04902648,-121.3256012,2016-09-22T17:46,2016-09-22T17:54,Student Annual Membership
55b09874cc8b,fcdac9e6c193,44.0505747,-121.3084648,44.0506086,-121.3085015,2017-08-09T22:34,2017-08-09T22:38,Monthly Membership
55b09874cc8b,0fea768ccbd1,44.0506305,-121.3084852,44.0576078,-121.3139377,2017-08-09T22:38,2017-08-10T01:16,Monthly Membership
